condition,overview,common_symptoms,when_to_seek_care,source_url,collected_from_query
Polio and Post-Polio Syndrome,Poliovirus is very contagious. Get the facts on polio and post-polio syndrome. Take precautions when travelling and learn about the polio vaccine.,Sore throat; Fever; Fatigue; Nausea; Headache; Stomach pain,"Seek medical care if symptoms are severe, worsening, or if you have emergency warning signs such as trouble breathing, chest pain, confusion, or persistent high fever.",https://medlineplus.gov/polioandpostpoliosyndrome.html,sore throat fever
Infectious Mononucleosis,"Infectious mononucleosis (mono), or ""the kissing disease,"" is a viral infection. It is often caused by the Epstein-Barr virus (EBV), which can spread in saliva.","Extreme fatigue; Fever; Sore throat; Head and body aches; Swollen lymph glands in your neck and armpits; Rash; Swollen liver, spleen, or both (these are less common symptoms)","Seek medical care if symptoms are severe, worsening, or if you have emergency warning signs such as trouble breathing, chest pain, confusion, or persistent high fever.",https://medlineplus.gov/infectiousmononucleosis.html,sore throat fever
Diphtheria,"Diphtheria is a serious bacterial infection. You can catch it from a person who has the infection and coughs or sneezes. You can also get infected by coming in contact with an object, such as a toy, that has bacteria on it.
Diphtheria usually affects the nose and throat. Symptoms include:
Swollen glands in the neck
Your doctor will diagnose it based on your signs and symptoms and a lab test. Getting treatment for diphtheria quickly is important. If your doctor suspects that you have it, you'll start treatment before the lab tests come back. Treatment is with antibiotics.
The diphtheria, pertussis, and tetanus vaccine can prevent diphtheria, but its protection does not last forever. Children need another dose, or booster, at about age 12. Then, as adults, they should get a booster every 10 years. Diphtheria is very rare in the United States because of the vaccine.
Centers for Disease Control and Prevention",,"Seek medical care if symptoms are severe, worsening, or if you have emergency warning signs such as trouble breathing, chest pain, confusion, or persistent high fever.",https://medlineplus.gov/diphtheria.html,sore throat fever
Bird Flu,"The bird flu (also known as influenza A or the avian flu) primarily infects birds, but can pose health risks to people. Learn how to avoid this flu.",Fever (but not everyone has a fever); Cough; Sore throat; Runny or stuffy nose; Muscle or body aches; Fatigue; Headaches; Eye redness ( conjunctivitis ); Trouble breathing; Diarrhea,"Seek medical care if symptoms are severe, worsening, or if you have emergency warning signs such as trouble breathing, chest pain, confusion, or persistent high fever.",https://medlineplus.gov/birdflu.html,sore throat fever
H1N1 Flu (Swine Flu),"Swine flu is an infection caused by a virus. It's named for a virus that pigs can get. People do not normally get swine flu, but human infections can and do happen. In 2009 a strain of swine flu called H1N1 infected many people around the world.
The virus is contagious and can spread from human to human. Symptoms of swine flu in people are similar to the symptoms of regular human flu and include fever, cough, sore throat, body aches, headache, chills and fatigue.
There are antiviral medicines you can take to prevent or treat swine flu. There is a vaccine available to protect against swine flu. You can help prevent the spread of germs that cause respiratory illnesses like influenza by:
Covering your nose and mouth with a tissue when you cough or sneeze. Throw the tissue in the trash after you use it.
Washing your hands often with soap and water, especially after you cough or sneeze. You can also use alcohol-based hand cleaners.
Avoiding touching your eyes, nose or mouth. Germs spread this way.
Trying to avoid close contact with sick people.
Staying home from work or school if you are sick.
Centers for Disease Control and Prevention",the symptoms of regular human flu; include fever; cough; sore throat; body aches; headache; chills; fatigue. there are,"Seek medical care if symptoms are severe, worsening, or if you have emergency warning signs such as trouble breathing, chest pain, confusion, or persistent high fever.",https://medlineplus.gov/h1n1fluswineflu.html,sore throat fever
Brain Aneurysm,"A brain aneurysm is an abnormal bulge or ""ballooning"" in the wall of an artery in the brain. They are sometimes called berry aneurysms because they are often the size of a small berry. Most brain aneurysms produce no symptoms until they become large, begin to leak blood, or burst.
If a brain aneurysm presses on nerves in your brain, it can cause signs and symptoms. These can include:
Double vision or other changes in vision
Pain above or behind the eye
Numbness or weakness on one side of the face or body
Treatment depends on the size and location of the aneurysm, whether it is infected, and whether it has burst. If a brain aneurysm bursts, symptoms can include a sudden, severe headache, nausea and vomiting, stiff neck, loss of consciousness, and signs of a stroke . Any of these symptoms requires immediate medical attention.
NIH: National Heart, Lung, and Blood Institute",Brain Aneurysm: Warning Signs and Symptoms (Brain Aneurysm Foundation),"Seek medical care if symptoms are severe, worsening, or if you have emergency warning signs such as trouble breathing, chest pain, confusion, or persistent high fever.",https://medlineplus.gov/brainaneurysm.html,headache nausea
Mosquito Bites,"Mosquitoes are insects that live all over the world. There are thousands of different species of mosquitoes; about 200 of those live in the United States.
Female mosquitoes bite animals and humans and drink a very small amount of their blood. They need protein and iron from blood to produce eggs. After drinking blood, they find some standing water and lay their eggs in it. The eggs hatch into larvae, then pupae, and then they become adult mosquitos. The males live for about a week to ten days, and the females can live up to several weeks. Some female mosquitoes can hibernate in the winter, and they can live for months.",symptoms; they are usually mild; include fever; headache; nausea. in rare cases; the virus can enter the,"Seek medical care if symptoms are severe, worsening, or if you have emergency warning signs such as trouble breathing, chest pain, confusion, or persistent high fever.",https://medlineplus.gov/mosquitobites.html,headache nausea
Salmonella Infections,"Salmonella is the name of a group of bacteria. In the United States, it is a common cause of foodborne illness . Salmonella occurs in raw poultry, eggs, beef, and sometimes on unwashed fruit and vegetables. You also can get infected after handling pets, especially reptiles like snakes, turtles, and lizards.
Possible nausea, vomiting , and loss of appetite
Symptoms usually last 4-7 days. Your health care provider diagnoses the infection with a stool test. Most people get better without treatment. Infection can be more serious in older adults, infants, and people with chronic health problems. If Salmonella gets into the bloodstream, it can be serious. The usual treatment is antibiotics.
Typhoid fever, a more serious disease caused by Salmonella, is not common in the United States. It frequently occurs in developing countries.
NIH: National Institute of Allergy and Infectious Diseases",vomiting; loss of appetite symptoms usually last,"Seek medical care if symptoms are severe, worsening, or if you have emergency warning signs such as trouble breathing, chest pain, confusion, or persistent high fever.",https://medlineplus.gov/salmonellainfections.html,headache nausea
Carbon Monoxide Poisoning,"Carbon monoxide (CO) is a gas that has no odor or color. But it is very dangerous. It can cause sudden illness and death. CO is found in combustion fumes, such as those made by cars and trucks, lanterns, stoves, gas ranges and heating systems. CO from these fumes can build up in places that don't have a good flow of fresh air. You can be poisoned by breathing them in. The most common symptoms of CO poisoning are:
It is often hard to tell if someone has CO poisoning, because the symptoms may be like those of other illnesses. People who are sleeping or intoxicated can die from CO poisoning before they have symptoms. A CO detector can warn you if you have high levels of CO in your home.
Centers for Disease Control and Prevention",,"Seek medical care if symptoms are severe, worsening, or if you have emergency warning signs such as trouble breathing, chest pain, confusion, or persistent high fever.",https://medlineplus.gov/carbonmonoxidepoisoning.html,headache nausea
Foodborne Illness,"Each year, around 48 million people in the United States get sick from contaminated food. Common causes include bacteria and viruses. Less often, the cause may be a parasite or a harmful chemical, such as a high amount of pesticides. Symptoms of foodborne illness depend on the cause. They can be mild or serious. They usually include:
Most foodborne illnesses are acute. This means that they happen suddenly and last a short time.
It takes several steps to get food from the farm or fishery to your dining table. Contamination can happen during any of these steps. For example, it can happen to:
Raw meat during slaughter
Fruits and vegetables when they are growing or when they are processed
Refrigerated foods when they are left on a loading dock in warm weather
But it can also happen in your kitchen if you leave food out for more than 2 hours at room temperature. Handling food safely can help prevent foodborne illnesses.
Most people with foodborne illness get better on their own. It is important to replace lost fluids and electrolytes to prevent dehydration. If your health care provider can diagnose the specific cause, you may get medicines such as antibiotics to treat it. For more serious illness, you may need treatment at a hospital.
NIH: National Institute of Diabetes and Digestive and Kidney Diseases",upset stomach abdominal cramps nausea,"Seek medical care if symptoms are severe, worsening, or if you have emergency warning signs such as trouble breathing, chest pain, confusion, or persistent high fever.",https://medlineplus.gov/foodborneillness.html,diarrhea stomach cramps
Giardia Infections,"Giardiasis is an illness caused by a parasite called Giardia intestinalis. It lives in soil, food, and water. It may also be on surfaces that have been contaminated with waste. You can become infected if you swallow the parasite. You can also get it if you're exposed to human feces (poop) through sexual contact.
The risk of getting giardia is higher for travelers to countries where it is common, people in child care settings, and those who drink untreated water.
Diarrhea is the main symptom of giardia infection. Others include:
Upset stomach or nausea
These symptoms may lead to weight loss and loss of body fluids. Some people have no symptoms at all. Symptoms of infection often last two to six weeks. Stool sample tests can diagnose it. You often need to collect several samples to test. Doctors use several drugs to treat it.
The best way to prevent giardia infection is to practice good hygiene, including frequent hand washing. You should not drink water that may be contaminated. You should also peel or wash fresh fruit and vegetables before eating.
Centers for Disease Control and Prevention",Symptoms of Giardia Infection (Centers for Disease Control and Prevention),"Seek medical care if symptoms are severe, worsening, or if you have emergency warning signs such as trouble breathing, chest pain, confusion, or persistent high fever.",https://medlineplus.gov/giardiainfections.html,diarrhea stomach cramps
"<span class=""qt0"">Diarrhea</span>",Diarrhea can range from mild to severe and can be dangerous in children. Find out what you can do to treat symptoms and when to call your doctor.,Cramps or pain in the abdomen; An urgent need to use the bathroom; Loss of bowel control,"Seek medical care if symptoms are severe, worsening, or if you have emergency warning signs such as trouble breathing, chest pain, confusion, or persistent high fever.",https://medlineplus.gov/diarrhea.html,diarrhea stomach cramps
Period Pain,"Period pain affects many women, and it can be severe. Learn about the cause of menstrual cramps, what you can do to feel better, and when you need to see a doctor.",which are a throbbing; such as lower back pain; nausea; diarrhea; headaches. period pain is not the same,"For many women, some pain during your period is normal. However, you should contact your health care provider if:
NSAIDs and self-care measures don't help, and the pain interferes with your life
Your cramps suddenly get worse
You are over 25 and you get severe cramps for the first time
You have a fever with your period pain
You have the pain even when you are not getting your period",https://medlineplus.gov/periodpain.html,diarrhea stomach cramps
Lyme Disease,Lyme disease is an infection you get from tick bites. The first symptom is usually a rash. Learn about Lyme disease symptoms and treatment.,"A red rash called erythema migrans (EM). Most people with Lyme disease get this rash. It gets bigger over several days and may feel warm. It is usually not painful or itchy. As it starts to get better, parts of it may fade. Sometimes this makes the rash look like a ""bull's-eye.""; Fever; Chills; Headache; Fatigue; Muscle and joint aches; Swollen lymph nodes (""swollen glands"")","Seek medical care if symptoms are severe, worsening, or if you have emergency warning signs such as trouble breathing, chest pain, confusion, or persistent high fever.",https://medlineplus.gov/lymedisease.html,rash fever
Zika Virus,"Zika is a virus that is spread mostly by mosquitoes. A pregnant mother can pass it to her baby during pregnancy or around the time of birth. It can spread through sexual contact. There have also been reports that the virus has spread through blood transfusions. There have been outbreaks of Zika virus in the United States, Africa, Southeast Asia, the Pacific Islands, parts of the Caribbean, and Central and South America.
Most people who get the virus do not get sick. One in five people do get symptoms, which can include a fever, rash, joint pain, and conjunctivitis ( pink eye ). Symptoms are usually mild, and start 2 to 7 days after being bitten by an infected mosquito.
A blood test can tell whether you have the infection. There are no vaccines or medicines to treat it. Drinking lots of fluids, resting, and taking acetaminophen might help.
Zika can cause microcephaly (a serious birth defect of the brain ) and other problems in babies whose mothers were infected while pregnant. The Centers for Disease Control and Prevention recommends that pregnant women do not travel to areas where there is a Zika virus outbreak. If you do decide to travel, first talk to your doctor. You should also be careful to prevent mosquito bites :
Wear clothes that cover your arms, legs, and feet
Stay in places that have air conditioning or that use window and door screens
Centers for Disease Control and Prevention",Zika Symptoms and Complications (Centers for Disease Control and Prevention) Also in Spanish,"Seek medical care if symptoms are severe, worsening, or if you have emergency warning signs such as trouble breathing, chest pain, confusion, or persistent high fever.",https://medlineplus.gov/zikavirus.html,rash fever
HIV,"HIV (human immunodeficiency virus) attacks the bodyâs immune system. There is no cure but it can be treated with medicines. To know if you have HIV, get tested.",Fever; Chills; Rash; Night sweats (heavy sweating during sleep); Muscle aches; Sore throat; Fatigue; Swollen lymph nodes; Mouth ulcers,"Seek medical care if symptoms are severe, worsening, or if you have emergency warning signs such as trouble breathing, chest pain, confusion, or persistent high fever.",https://medlineplus.gov/hiv.html,rash fever
Acute Bronchitis,"Bronchitis is an inflammation of the bronchial tubes, the airways that carry air to your lungs. It causes a cough that often brings up mucus. It can also cause shortness of breath, wheezing, a low fever, and chest tightness. There are two main types of bronchitis: acute and chronic .
Most cases of acute bronchitis get better within several days. But your cough can last for several weeks after the infection is gone.
The same viruses that cause colds and the flu often cause acute bronchitis. These viruses spread through the air when people cough, or though physical contact (for example, on unwashed hands). Being exposed to tobacco smoke, air pollution, dusts, vapors, and fumes can also cause acute bronchitis. Less often, bacteria can also cause acute bronchitis.
To diagnose acute bronchitis, your health care provider will ask about your symptoms and listen to your breathing. You may also have other tests.
Treatments include rest, fluids, and aspirin (for adults) or acetaminophen to treat fever. A humidifier or steam can also help. You may need inhaled medicine to open your airways if you are wheezing. Antibiotics won't help if the cause is viral. You may get antibiotics if the cause is bacterial.
NIH: National Heart, Lung, and Blood Institute",lung; blood institute,"Seek medical care if symptoms are severe, worsening, or if you have emergency warning signs such as trouble breathing, chest pain, confusion, or persistent high fever.",https://medlineplus.gov/acutebronchitis.html,shortness of breath wheezing
Asthma,Asthma causes one's airways to become sore and swollen. An attack means a person's lungs are getting less air. Learn about two types of treatment.,"Chest tightness; Coughing, especially at night or early morning; Shortness of breath; Wheezing, which causes a whistling sound when you breathe out","Seek medical care if symptoms are severe, worsening, or if you have emergency warning signs such as trouble breathing, chest pain, confusion, or persistent high fever.",https://medlineplus.gov/asthma.html,shortness of breath wheezing
Anaphylaxis,"Anaphylaxis is a serious allergic reaction . It can begin very quickly, and symptoms may be life-threatening. The most common causes are reactions to foods (especially peanuts), medications , and stinging insects . Other causes include exercise and exposure to latex . Sometimes no cause can be found.
It can affect many organs:
Skin - itching, hives, redness, swelling
Nose - sneezing, stuffy nose, runny nose
Mouth - itching, swelling of the lips or tongue
Throat - itching, tightness, trouble swallowing, swelling of the back of the throat
Chest - shortness of breath, coughing, wheezing, chest pain or tightness
Heart - weak pulse, passing out, shock
Gastrointestinal tract - vomiting, diarrhea, cramps
Nervous system - dizziness or fainting
If someone is having a serious allergic reaction, call 911. If an auto-injector is available, give the person the injection right away.",coughing; wheezing; chest pain; tightness heart - weak pulse; passing,"Seek medical care if symptoms are severe, worsening, or if you have emergency warning signs such as trouble breathing, chest pain, confusion, or persistent high fever.",https://medlineplus.gov/anaphylaxis.html,shortness of breath wheezing
Alpha-1 Antitrypsin Deficiency,Alpha-1 Antitrypsin Deficiency is an inherited condition that raises your risk for lung and liver disease. Learn about the symptoms and treatment.,"Wheezing; Shortness of breath , especially after exercise; Chronic cough with phlegm (mucus); Repeated respiratory infections such as colds and the flu; Chest pain; Fatigue; Faster-than-normal heartbeat when you stand up; Vision problems; Losing weight without trying","Seek medical care if symptoms are severe, worsening, or if you have emergency warning signs such as trouble breathing, chest pain, confusion, or persistent high fever.",https://medlineplus.gov/alpha1antitrypsindeficiency.html,shortness of breath wheezing
Sarcoidosis,"Sarcoidosis is a disease that leads to inflammation, usually in lungs, skin, or lymph nodes. It starts as granulomas. Discover symptoms and tests.",Fatigue; Weight loss; Swollen lymph nodes; Depression; Fever; Night sweats (heavy sweating during sleep),"Seek medical care if symptoms are severe, worsening, or if you have emergency warning signs such as trouble breathing, chest pain, confusion, or persistent high fever.",https://medlineplus.gov/sarcoidosis.html,shortness of breath wheezing
Low Blood Pressure,"You've probably heard that high blood pressure is a problem. Sometimes blood pressure that is too low can also cause problems.
Blood pressure is the force of your blood pushing against the walls of your arteries. Each time your heart beats, it pumps out blood into the arteries. Your blood pressure is highest when your heart beats, pumping the blood. This is called systolic pressure. When your heart is at rest, between beats, your blood pressure falls. This is the diastolic pressure. Your blood pressure reading uses these two numbers. Usually they're written one above or before the other, such as 120/80. If your blood pressure reading is 90/60 or lower, you have low blood pressure.
Some people have low blood pressure all the time. They have no symptoms and their low readings are normal for them. In other people, blood pressure drops below normal because of a medical condition or certain medicines. Some people may have symptoms of low blood pressure when standing up too quickly. Low blood pressure is a problem only if it causes dizziness , fainting or in extreme cases, shock .
NIH: National Heart, Lung, and Blood Institute",fainting; in extreme cases; shock. nih: national heart,"Seek medical care if symptoms are severe, worsening, or if you have emergency warning signs such as trouble breathing, chest pain, confusion, or persistent high fever.",https://medlineplus.gov/lowbloodpressure.html,dizziness fainting
"<span class=""qt2"">Fainting</span>","Fainting is a temporary loss of consciousness. If you're about to faint, you'll feel dizzy, lightheaded, or nauseous. Your field of vision may ""white out"" or ""black out."" Your skin may be cold and clammy. You lose muscle control at the same time, and may fall down.
Fainting usually happens when your blood pressure drops suddenly, causing a decrease in blood flow to your brain. It is more common in older people. Some causes of fainting include:
Standing up too quickly
When someone faints, make sure that the airway is clear and check for breathing. The person should stay lying down for 10-15 minutes. Most people recover completely. Fainting is usually nothing to worry about, but it can sometimes be a sign of a serious problem. If you faint, it's important to see your health care provider and find out why it happened.",Vasovagal Syncope (Symptoms and Causes) (Mayo Foundation for Medical Education and Research) Also in Spanish,"Seek medical care if symptoms are severe, worsening, or if you have emergency warning signs such as trouble breathing, chest pain, confusion, or persistent high fever.",https://medlineplus.gov/fainting.html,dizziness fainting
Arrhythmia,"Arrhythmia, also called irregular heartbeat comes in different types. The most common is atrial fibrillation. Read about symptoms and treatment.","Fast or slow heartbeat; Skipping, fluttering, or pounding heartbeats; Chest pain or discomfort; Dizziness or fainting; Shortness of breath; Sweating; Tiredness or weakness","Seek medical care if symptoms are severe, worsening, or if you have emergency warning signs such as trouble breathing, chest pain, confusion, or persistent high fever.",https://medlineplus.gov/arrhythmia.html,dizziness fainting
Atrial Fibrillation,Atrial fibrillation (AF or AFib) is the most common type of arrhythmia (irregular heartbeat). Read about symptoms and treatment.,"Extreme fatigue, which is the most common symptom; Heart palpitations (the feeling that your heart is skipping a beat, fluttering, pounding, or beating too hard or too fast); Trouble breathing , especially when lying down or when exercising; Chest pain; Dizziness or fainting; Low blood pressure","Seek medical care if symptoms are severe, worsening, or if you have emergency warning signs such as trouble breathing, chest pain, confusion, or persistent high fever.",https://medlineplus.gov/atrialfibrillation.html,dizziness fainting
Skin Conditions,"Your skin is your body's largest organ. It covers and protects your body. Learn about skin conditions, including causes, symptoms, and treatment.",acne; scrapes dandruff; which causes inflammation; redness; irritation,"Seek medical care if symptoms are severe, worsening, or if you have emergency warning signs such as trouble breathing, chest pain, confusion, or persistent high fever.",https://medlineplus.gov/skinconditions.html,acne eczema
